Framework 1,Framework 2,p-value,Adjusted p-value,Significant,Effect Size,Magnitude
4intelligence,autogluon,0.5307150506323358,1.0,False,-0.04336734693877551,negligible
4intelligence,autokeras,0.940482193744091,1.0,False,0.005204081632653061,negligible
4intelligence,autopytorch,0.8796062755409263,1.0,False,0.010510204081632652,negligible
4intelligence,autosklearn,0.0006341104135239937,0.07609324962287925,False,-0.235,small
4intelligence,evalml,0.9980548805925475,1.0,False,0.00023228803716608595,negligible
4intelligence,fedot,0.22846493035858695,1.0,False,-0.0874384236453202,negligible
4intelligence,flaml,0.5191175699030963,1.0,False,0.04459183673469388,negligible
4intelligence,gama,0.00475624691589629,0.5707496299075547,False,-0.20285714285714285,small
4intelligence,h2o,0.000255782381715973,0.030693885805916758,True,0.2527551020408163,small
4intelligence,lightautoml,1.723636639752197e-42,2.0683639677026363e-40,True,0.9828571428571429,large
4intelligence,lightwood,0.5237745651037942,1.0,False,0.044081632653061226,negligible
4intelligence,mljar,0.18161672719315303,1.0,False,-0.0923469387755102,negligible
4intelligence,naive,0.046097120001523155,1.0,False,-0.18736263736263736,small
4intelligence,pycaret,0.036426540423534985,1.0,False,-0.14448979591836736,negligible
4intelligence,tpot,0.013096945605530133,1.0,False,-0.1794871794871795,small
autogluon,autokeras,0.04067102815001305,1.0,False,0.1414795918367347,negligible
autogluon,autopytorch,0.6429216242134669,1.0,False,0.03209183673469388,negligible
autogluon,autosklearn,0.0028241269752935744,0.33889523703522895,False,-0.20596938775510204,small
autogluon,evalml,0.013103127491268454,1.0,False,0.17740998838559816,small
autogluon,fedot,0.6008286662289835,1.0,False,-0.03805418719211823,negligible
autogluon,flaml,0.22131189474724322,1.0,False,0.08459183673469388,negligible
autogluon,gama,0.010303843777016191,1.0,False,-0.18458333333333332,small
autogluon,h2o,1.2764677254378774e-07,1.531761270525453e-05,True,0.36520408163265305,medium
autogluon,lightautoml,1.6633037951434162e-42,1.9959645541720995e-40,True,0.9833333333333333,large
autogluon,lightwood,0.09037555215770358,1.0,False,0.11709183673469388,negligible
autogluon,mljar,0.7830810060155272,1.0,False,0.019081632653061224,negligible
autogluon,naive,0.12240651556274018,1.0,False,-0.14532967032967034,negligible
autogluon,pycaret,0.10654243654554554,1.0,False,-0.11158163265306123,negligible
autogluon,tpot,0.03840598624959603,1.0,False,-0.15,small
autokeras,autopytorch,0.1583787758720806,1.0,False,-0.09744897959183674,negligible
autokeras,autosklearn,1.4125265156396219e-05,0.0016950318187675462,True,-0.2985714285714286,small
autokeras,evalml,0.3692344635421745,1.0,False,-0.06422764227642276,negligible
autokeras,fedot,0.006780594576814507,0.8136713492177408,False,-0.19649014778325122,small
autokeras,flaml,0.5181615555914114,1.0,False,-0.04469387755102041,negligible
autokeras,gama,1.3790236207580153e-05,0.0016548283449096183,True,-0.3123214285714286,small
autokeras,h2o,0.002654123607420995,0.3184948328905194,False,0.20775510204081632,small
autokeras,lightautoml,2.2259309617927566e-41,2.671117154151308e-39,True,0.9694047619047619,large
autokeras,lightwood,0.5422076955980006,1.0,False,-0.04214285714285714,negligible
autokeras,mljar,0.006895782139770056,0.8274938567724067,False,-0.186734693877551,small
autokeras,naive,0.00023584258411435256,0.02830111009372231,True,-0.3453296703296703,medium
autokeras,pycaret,2.858702017426733e-05,0.0034304424209120796,True,-0.2889285714285714,small
autokeras,tpot,2.9050108341735124e-05,0.003486013001008215,True,-0.30238095238095236,small
autopytorch,autosklearn,0.001044694960811854,0.1253633952974225,False,-0.2257142857142857,small
autopytorch,evalml,0.08396951609221064,1.0,False,0.12357723577235773,negligible
autopytorch,fedot,0.3176104373219242,1.0,False,-0.07259852216748769,negligible
autopytorch,flaml,0.49139099750481186,1.0,False,0.04760204081632653,negligible
autopytorch,gama,0.003758492198166052,0.45101906377992623,False,-0.20833333333333334,small
autopytorch,h2o,5.505690068575706e-06,0.0006606828082290847,True,0.31418367346938775,small
autopytorch,lightautoml,1.7182012616975008e-40,2.0618415140370009e-38,True,0.9586309523809524,large
autopytorch,lightwood,0.25388131538689385,1.0,False,0.07887755102040817,negligible
autopytorch,mljar,0.7745419967395424,1.0,False,-0.019846938775510203,negligible
autopytorch,naive,0.09066400783827318,1.0,False,-0.15906593406593406,small
autopytorch,pycaret,0.04443054282396145,1.0,False,-0.13887755102040816,negligible
autopytorch,tpot,0.011985874991742309,1.0,False,-0.18186813186813186,small
autosklearn,evalml,2.0395020099321008e-05,0.002447402411918521,True,0.304006968641115,small
autosklearn,fedot,0.013817146478797164,1.0,False,0.17807881773399015,small
autosklearn,flaml,6.562082464885305e-05,0.007874498957862366,True,0.2752040816326531,small
autosklearn,gama,0.5113910740377501,1.0,False,0.04702380952380952,negligible
autosklearn,h2o,1.766266832037009e-13,2.1195201984444107e-11,True,0.5084183673469388,large
autosklearn,lightautoml,4.5988482916927905e-44,5.5186179500313484e-42,True,1.0,large
autosklearn,lightwood,3.3752505172287185e-05,0.004050300620674462,True,0.28561224489795917,small
autosklearn,mljar,0.010988834078874257,1.0,False,0.17540816326530612,small
autosklearn,naive,0.8516990325291928,1.0,False,0.017582417582417582,negligible
autosklearn,pycaret,0.288976563997026,1.0,False,0.07301020408163265,negligible
autosklearn,tpot,0.42870741464747597,1.0,False,0.05702075702075702,negligible
evalml,fedot,0.004796533715400466,0.5755840458480559,False,-0.21124194000560695,small
evalml,flaml,0.6526713063917331,1.0,False,-0.032229965156794424,negligible
evalml,gama,1.472951261863767e-06,0.00017675415142365204,True,-0.3573848238482385,medium
evalml,h2o,9.434646191554924e-06,0.001132157542986591,True,0.3167247386759582,small
evalml,lightautoml,2.569033727763789e-41,3.0828404733165467e-39,True,0.9994579945799458,large
evalml,lightwood,0.5789726401557909,1.0,False,-0.0397212543554007,negligible
evalml,mljar,0.01195580740748564,1.0,False,-0.179732868757259,small
evalml,naive,1.0625690793500954e-06,0.00012750828952201145,True,-0.46747967479674796,medium
evalml,pycaret,1.893015817688509e-06,0.0002271618981226211,True,-0.3405923344947735,medium
evalml,tpot,3.7152966694085387e-06,0.00044583560032902467,True,-0.34563268709610173,medium
fedot,flaml,0.14234121840252453,1.0,False,0.10658866995073892,negligible
fedot,gama,0.03802969817011923,1.0,False,-0.15617816091954023,small
fedot,h2o,6.632176610723083e-08,7.958611932867699e-06,True,0.39230295566502466,medium
fedot,lightautoml,4.313646011310543e-40,5.176375213572652e-38,True,0.9984195402298851,large
fedot,lightwood,0.02326253208633227,1.0,False,0.1647783251231527,small
fedot,mljar,0.4705165917710439,1.0,False,0.05246305418719212,negligible
fedot,naive,0.3022412253789245,1.0,False,-0.09980106100795756,negligible
fedot,pycaret,0.29195767552971474,1.0,False,-0.07653940886699508,negligible
fedot,tpot,0.11135599967217748,1.0,False,-0.12061597406424993,negligible
flaml,gama,0.0009417378198599219,0.11300853838319064,False,-0.23791666666666667,small
flaml,h2o,0.0005582401382917285,0.06698881659500742,False,0.23862244897959184,small
flaml,lightautoml,3.9128866628475884e-32,4.695463995417106e-30,True,0.8491666666666666,large
flaml,lightwood,0.7853051215468427,1.0,False,0.018877551020408164,negligible
flaml,mljar,0.14613030817785405,1.0,False,-0.10051020408163265,negligible
flaml,naive,0.003580721623431882,0.4296865948118258,False,-0.2739010989010989,small
flaml,pycaret,0.0030021571461494095,0.36025885753792913,False,-0.20510204081632652,small
flaml,tpot,0.0025192137415229023,0.30230564898274825,False,-0.2188034188034188,small
gama,h2o,7.346828850027812e-13,8.816194620033374e-11,True,0.5161309523809524,large
gama,lightautoml,6.803645107524954e-41,8.164374129029945e-39,True,1.0,large
gama,lightwood,6.534750329941503e-05,0.007841700395929803,True,0.28708333333333336,small
gama,mljar,0.005795903021584527,0.6955083625901433,False,0.19851190476190475,small
gama,naive,0.6751642721944575,1.0,False,0.04038461538461539,negligible
gama,pycaret,0.31860240345473645,1.0,False,0.07172619047619047,negligible
gama,tpot,0.6928048005999905,1.0,False,0.0297008547008547,negligible
h2o,lightautoml,6.856997781662148e-34,8.228397337994578e-32,True,0.8733333333333333,large
h2o,lightwood,0.00022517848274411015,0.027021417929293218,True,-0.25505102040816324,small
h2o,mljar,3.0636083898161425e-10,3.676330067779371e-08,True,-0.4352551020408163,medium
h2o,naive,1.723180472451064e-10,2.067816566941277e-08,True,-0.6002747252747253,large
h2o,pycaret,5.660000502648624e-14,6.792000603178348e-12,True,-0.5195408163265306,large
h2o,tpot,1.6790211623159623e-12,2.0148253947791547e-10,True,-0.5114163614163614,large
lightautoml,lightwood,2.183391461150027e-40,2.6200697533800324e-38,True,-0.9573809523809523,large
lightautoml,mljar,6.724926994833333e-44,8.0699123938e-42,True,-1.0,large
lightautoml,naive,2.440989039023684e-25,2.929186846828421e-23,True,-1.0,large
lightautoml,pycaret,6.523852459952994e-44,7.828622951943593e-42,True,-1.0,large
lightautoml,tpot,2.1207592992631626e-40,2.5449111591157953e-38,True,-1.0,large
lightwood,mljar,0.14263318328875477,1.0,False,-0.10137755102040816,negligible
lightwood,naive,0.004398532697138269,0.5278239236565923,False,-0.2677197802197802,small
lightwood,pycaret,0.0010323472803838935,0.12388167364606723,False,-0.22673469387755102,small
lightwood,tpot,0.00024238623884127058,0.02908634866095247,True,-0.2656898656898657,small
mljar,naive,0.0031709262711324296,0.3805111525358916,False,-0.2774725274725275,small
mljar,pycaret,0.022094412924247034,1.0,False,-0.15821428571428572,small
mljar,tpot,0.014058585055166937,1.0,False,-0.1778998778998779,small
naive,pycaret,0.44516247907842854,1.0,False,0.07184065934065934,negligible
naive,tpot,0.9931932796974456,1.0,False,0.0009861932938856016,negligible
pycaret,tpot,0.5821609637053227,1.0,False,-0.03986568986568986,negligible
