Dataset,Dataset Type,Framework,Trial,F1 Score,Training Time
285,multilabel_native,autogluon,1,0.18155808671530094,128.8987230849998
285,multilabel_native,autogluon,2,0.1873159789167093,102.72963520099984
285,multilabel_native,autogluon,3,0.340618771784854,105.24168053500034
285,multilabel_native,autogluon,4,0.19306114035875266,118.75574735099963
285,multilabel_native,autogluon,5,0.2126625980996069,132.87917365200065
285,multilabel_native,autogluon,6,0.27790881690632013,107.49970948800001
285,multilabel_native,autogluon,7,0.22469081246059658,107.91571429499982
285,multilabel_native,autogluon,8,0.3303966431221689,122.16607305600064
285,multilabel_native,autogluon,9,0.2504128105967791,114.04189177899934
285,multilabel_native,autogluon,10,0.33537941278094063,110.04309791299966
285,multilabel_native,autogluon,11,0.2792274763800173,115.8685360189993
285,multilabel_native,autogluon,12,0.1951162897116523,111.00304422000045
285,multilabel_native,autogluon,13,0.2766414997001366,112.6270024989999
285,multilabel_native,autogluon,14,0.2960720293558766,131.16202517200054
285,multilabel_native,autogluon,15,0.32022889533343135,106.36566065699935
285,multilabel_native,autogluon,16,0.3395175628451909,109.6376155779999
285,multilabel_native,autogluon,17,0.29835054717867215,110.97700912100026
285,multilabel_native,autogluon,18,0.2834448249815574,119.46295981500043
285,multilabel_native,autogluon,19,0.30263453800293166,112.92004686000018
285,multilabel_native,autogluon,20,0.25213525072582393,111.74557846399966
285,multilabel_native,autokeras,1,0.2705455957190478,15.167320560663939
285,multilabel_native,autokeras,2,0.28395001225189903,15.612254313193262
285,multilabel_native,autokeras,3,0.243704350995682,16.086128254421055
285,multilabel_native,autokeras,4,0.2550031490248882,15.209708449430764
285,multilabel_native,autokeras,5,0.28664696749462415,13.292732020840049
285,multilabel_native,autokeras,6,0.2959450052882761,18.91421860549599
285,multilabel_native,autokeras,7,0.3092267687826024,15.416482746601105
285,multilabel_native,autokeras,8,0.22418035014558702,14.308701166883111
285,multilabel_native,autokeras,9,0.28390741843690026,23.9401592919603
285,multilabel_native,autokeras,10,0.30140994256661335,22.065127809531987
285,multilabel_native,autokeras,11,0.2879995045212437,13.287985282950103
285,multilabel_native,autokeras,12,0.2981738270928116,22.893069912679493
285,multilabel_native,autokeras,13,0.27093927721324024,13.352677355520427
285,multilabel_native,autokeras,14,0.24360622977568777,13.625733802095056
285,multilabel_native,autokeras,15,0.225647367513273,20.49876036029309
285,multilabel_native,autokeras,16,0.29499947893329725,19.616792873479426
285,multilabel_native,autokeras,17,0.3051036523862611,14.846530470065773
285,multilabel_native,autokeras,18,0.2887902509054446,22.802099665626884
285,multilabel_native,autokeras,19,0.2979152617352781,15.046661379747093
285,multilabel_native,autokeras,20,0.2870329053471999,14.701201234944165
285,multilabel_native,autosklearn,1,0.6715471391039737,298.36500493530184
285,multilabel_native,autosklearn,2,0.6952940844552027,298.0777819734067
285,multilabel_native,autosklearn,3,0.7406113398111062,297.58127848803997
285,multilabel_native,autosklearn,4,0.7572984317383689,297.20329238753766
285,multilabel_native,autosklearn,5,0.6989424837982531,299.3965035881847
285,multilabel_native,autosklearn,6,0.7219069188973966,296.74487905576825
285,multilabel_native,autosklearn,7,0.7262734867051414,310.93730979412794
285,multilabel_native,autosklearn,8,0.7074907270879432,317.42836986575276
285,multilabel_native,autosklearn,9,0.664207241526521,298.92338818404824
285,multilabel_native,autosklearn,10,0.7202278177079278,297.0556566650048
285,multilabel_native,autosklearn,11,0.7063548394680105,308.9184799809009
285,multilabel_native,autosklearn,12,0.7015200059564596,313.93430455587804
285,multilabel_native,autosklearn,13,0.6939703250806215,305.9141290942207
285,multilabel_native,autosklearn,14,0.7994964933864365,304.73375096544623
285,multilabel_native,autosklearn,15,0.6732452360694962,299.3056512987241
285,multilabel_native,autosklearn,16,0.7669540686058263,299.5233322205022
285,multilabel_native,autosklearn,17,0.6732609179387379,300.9055308206007
285,multilabel_native,autosklearn,18,0.7263066735089538,297.5813755681738
285,multilabel_native,autosklearn,19,0.7313979822685512,311.41083618439734
285,multilabel_native,autosklearn,20,0.7529330764388749,302.2073123138398
285,multilabel_native,fedot,1,0.6159546763679322,299.6259933523834
285,multilabel_native,fedot,2,0.7390871732615181,301.19859502930194
285,multilabel_native,fedot,3,0.6288826472843099,299.63845352921635
41464,multilabel_native,autogluon,1,0.017523364485981307,304.650162119
41464,multilabel_native,autogluon,2,0.06964506727352578,304.8126884199992
41464,multilabel_native,autogluon,3,0.041416281612360044,301.2758161749989
41464,multilabel_native,autogluon,4,0.04029839556155346,286.6816451559989
41464,multilabel_native,autogluon,5,0.06623834542962212,273.2185655350004
41464,multilabel_native,autogluon,6,0.05555555555555555,300.14569099099936
41464,multilabel_native,autogluon,7,0.06809058709885156,266.5818969740012
41464,multilabel_native,autogluon,8,0.0829729691460289,259.9602826120008
41464,multilabel_native,autogluon,9,0.039096586782861285,271.9154344810013
41464,multilabel_native,autogluon,10,0.07495839783281733,261.2263930279987
41464,multilabel_native,autogluon,11,0.03916992481203007,269.98973960699914
41464,multilabel_native,autogluon,12,0.01521355724254275,287.5391072959992
41464,multilabel_native,autogluon,13,0.019257703081232494,296.871088498001
41464,multilabel_native,autogluon,14,0.03394383394383394,283.53771566199975
41464,multilabel_native,autogluon,15,0.067244681923581,295.5047833619992
41464,multilabel_native,autogluon,16,0.023758865248226953,262.0701637460006
41464,multilabel_native,autogluon,17,0.08956622125502581,237.08912989700002
41464,multilabel_native,autogluon,18,0.10149976676414951,256.0156292339998
41464,multilabel_native,autogluon,19,0.07765506584404222,283.79253753299963
41464,multilabel_native,autogluon,20,0.05981182795698925,271.7771804490003
41464,multilabel_native,autokeras,1,0.23827415392454315,51.31250252388418
41464,multilabel_native,autokeras,2,0.24152464094992832,49.56051433738321
41464,multilabel_native,autokeras,3,0.26480298676013214,52.84960063174367
41464,multilabel_native,autokeras,4,0.2486560763479524,63.837812202982605
41464,multilabel_native,autokeras,5,0.2620288023794218,52.71996375080198
41464,multilabel_native,autokeras,6,0.16220919388489047,53.193748941645026
41464,multilabel_native,autokeras,7,0.2561487037360534,51.80450584087521
41464,multilabel_native,autokeras,8,0.21663960623010606,54.932852482423186
41464,multilabel_native,autokeras,9,0.24417251014352462,66.72890210989863
41464,multilabel_native,autokeras,10,0.23971413773368314,63.8184709623456
41464,multilabel_native,autokeras,11,0.2530503183091418,50.303707141429186
41464,multilabel_native,autokeras,12,0.2711079044412377,68.72455612104386
41464,multilabel_native,autokeras,13,0.23839588486929922,51.284444083459675
41464,multilabel_native,autokeras,14,0.22964112342021398,51.14795038476586
41464,multilabel_native,autokeras,15,0.27792655163740265,58.230514402501285
41464,multilabel_native,autokeras,16,0.2962379281263912,63.62285734526813
41464,multilabel_native,autokeras,17,0.2677503715116357,45.982060661539435
41464,multilabel_native,autokeras,18,0.23700317656200004,65.42512701824307
41464,multilabel_native,autokeras,19,0.2917430078920535,51.712639179080725
41464,multilabel_native,autokeras,20,0.3323313917599235,50.91835093405098
41464,multilabel_native,autosklearn,1,0.6177297351959077,301.7287218347192
41464,multilabel_native,autosklearn,2,0.5273709785296238,307.8276202622801
41464,multilabel_native,autosklearn,3,0.535602852252012,303.83204298932105
41464,multilabel_native,autosklearn,4,0.6791973512194013,303.8336591012776
41464,multilabel_native,autosklearn,5,0.6117755368622024,299.37910161633044
41464,multilabel_native,autosklearn,6,0.46414935410150726,298.18241793103516
41464,multilabel_native,autosklearn,7,0.6269760697150455,308.64605474099517
41464,multilabel_native,autosklearn,8,0.5038783720987111,299.21495034825057
41464,multilabel_native,autosklearn,9,0.6090231969661052,299.3591380119324
41464,multilabel_native,autosklearn,10,0.5345435380591631,299.6735726362094
41464,multilabel_native,autosklearn,11,0.6140228836123575,303.5510547077283
41464,multilabel_native,autosklearn,12,0.44854791299235747,300.96010857913643
41464,multilabel_native,autosklearn,13,0.5991176396284138,304.2535736784339
41464,multilabel_native,autosklearn,14,0.5842025699168556,303.8536266256124
41464,multilabel_native,autosklearn,15,0.4490508516298842,298.9836115576327
41464,multilabel_native,autosklearn,16,0.5508286225432658,300.4648291692138
41464,multilabel_native,autosklearn,17,0.4731397707296227,303.22541322465986
41464,multilabel_native,autosklearn,18,0.6207604962248586,297.40115416329354
41464,multilabel_native,autosklearn,19,0.6074359632171484,303.1164213679731
41464,multilabel_native,autosklearn,20,0.6500101484767736,298.4441432226449
41465,multilabel_native,autogluon,1,0.23193037884252313,96.34581901300044
41465,multilabel_native,autogluon,2,0.21949944725130455,88.86117627899876
41465,multilabel_native,autogluon,3,0.20680879946703687,73.86054526899898
41465,multilabel_native,autogluon,4,0.2442332102655938,73.66939396900125
41465,multilabel_native,autogluon,5,0.27879772802570124,71.10725212800025
41465,multilabel_native,autogluon,6,0.23682628171115394,76.25542811000014
41465,multilabel_native,autogluon,7,0.2090608715830042,78.72247190999951
41465,multilabel_native,autogluon,8,0.2198853955381175,82.36008938899977
41465,multilabel_native,autogluon,9,0.20899025018938158,71.66521761899821
41465,multilabel_native,autogluon,10,0.25600641333974666,74.34135870600039
41465,multilabel_native,autogluon,11,0.24800626166676185,77.65047968599902
41465,multilabel_native,autogluon,12,0.23099962580945768,75.31171884300056
41465,multilabel_native,autogluon,13,0.24269541356345237,70.07433795200086
41465,multilabel_native,autogluon,14,0.22416867927558434,79.5494587860012
41465,multilabel_native,autogluon,15,0.2778593395554858,73.08990524399997
41465,multilabel_native,autogluon,16,0.24127820193111088,74.53528315200128
41465,multilabel_native,autogluon,17,0.26465809173108956,74.91241628399985
41465,multilabel_native,autogluon,18,0.2823573711238548,75.52227111100001
41465,multilabel_native,autogluon,19,0.23736452908317585,73.47340928199992
41465,multilabel_native,autogluon,20,0.269159941562712,98.0171788910011
41465,multilabel_native,autokeras,1,0.4916710089343379,38.8104251769837
41465,multilabel_native,autokeras,2,0.4552322402803761,28.763943620957434
41465,multilabel_native,autokeras,3,0.48805569371526814,32.31222291698214
41465,multilabel_native,autokeras,4,0.4740349304359057,34.74211243505124
41465,multilabel_native,autokeras,5,0.49622153522862744,29.751195761025883
41465,multilabel_native,autokeras,6,0.46270354204763364,29.561994520016015
41465,multilabel_native,autokeras,7,0.5018877506822104,27.080904597998597
41465,multilabel_native,autokeras,8,0.5180632084974932,40.44131269608624
41465,multilabel_native,autokeras,9,0.4429781603665673,51.11023061093874
41465,multilabel_native,autokeras,10,0.44645336717121364,45.533701359061524
41465,multilabel_native,autokeras,11,0.3992653783897316,28.049730092054233
41465,multilabel_native,autokeras,12,0.43806630922291484,49.23690148605965
41465,multilabel_native,autokeras,13,0.45452120622968734,46.014636186067946
41465,multilabel_native,autokeras,14,0.4770787165973778,36.34586164506618
41465,multilabel_native,autokeras,15,0.4753871687703153,53.61357351299375
41465,multilabel_native,autokeras,16,0.44796241288286665,45.72915332799312
41465,multilabel_native,autokeras,17,0.4787627565445496,29.8682353469776
41465,multilabel_native,autokeras,18,0.3739993525968277,67.01667618809734
41465,multilabel_native,autokeras,19,0.45980356029072944,32.27151889097877
41465,multilabel_native,autokeras,20,0.45913090428449044,30.91197314998135
41465,multilabel_native,autosklearn,1,0.6823459880592886,301.38823796703946
41465,multilabel_native,autosklearn,2,0.7110681322154474,299.98129157803487
41465,multilabel_native,autosklearn,3,0.7192608429928706,296.6688858389389
41465,multilabel_native,autosklearn,4,0.6587788780879207,301.2693434810499
41465,multilabel_native,autosklearn,5,0.7179666308606468,300.5723016191041
41465,multilabel_native,autosklearn,6,0.68786076260284,301.65170791803394
41465,multilabel_native,autosklearn,7,0.7070855403749943,297.2181005469756
41465,multilabel_native,autosklearn,8,0.7144877357663749,298.8519671270624
41465,multilabel_native,autosklearn,9,0.653963408665786,300.93860868702177
41465,multilabel_native,autosklearn,10,0.6632526781520264,297.96007729205303
41465,multilabel_native,autosklearn,11,0.652378868072601,301.43688886100426
41465,multilabel_native,autosklearn,12,0.674636417669011,300.1756206519203
41465,multilabel_native,autosklearn,13,0.7116673537506444,302.8420308199711
41465,multilabel_native,autosklearn,14,0.7086527942422514,299.73642200697213
41465,multilabel_native,autosklearn,15,0.6996606288674923,299.5603762669489
41465,multilabel_native,autosklearn,16,0.692663652040944,300.8056452550227
41465,multilabel_native,autosklearn,17,0.6900220996706754,305.5902187869651
41465,multilabel_native,autosklearn,18,0.6532893706501062,303.8947757720016
41465,multilabel_native,autosklearn,19,0.6630501985164945,301.45040286902804
41465,multilabel_native,autosklearn,20,0.7390490977009746,301.09420296608005
41465,multilabel_native,fedot,1,0.6499161248285712,308.7869470190053
41465,multilabel_native,fedot,2,0.6914152582622769,311.8354399230011
41465,multilabel_native,fedot,3,0.6716965199410658,308.59823159901134
41465,multilabel_native,fedot,4,0.5995810290025172,297.42846751899924
41465,multilabel_native,fedot,5,0.6417561768340098,306.0380978540052
41465,multilabel_native,fedot,6,0.6346157648107855,301.9730641060014
41465,multilabel_native,fedot,7,0.6663741076933666,308.6506566480093
41465,multilabel_native,fedot,8,0.7266453537175619,304.0014538800024
41465,multilabel_native,fedot,9,0.6673960566599982,302.050732660995
41465,multilabel_native,fedot,10,0.6288680883924422,303.2474468319997
41465,multilabel_native,fedot,11,0.6240090766857719,307.05788808299985
41465,multilabel_native,fedot,12,0.624924517532947,303.82428653798706
41465,multilabel_native,fedot,13,0.6560297878584667,303.0649202729983
41465,multilabel_native,fedot,14,0.6728889917199832,310.132529495997
41465,multilabel_native,fedot,15,0.6530427707666651,309.87969271100883
41465,multilabel_native,fedot,16,0.6345822363290655,308.15319275000365
41465,multilabel_native,fedot,17,0.6225268285516926,306.49145424499875
41465,multilabel_native,fedot,18,0.602664253199748,300.93846282899904
41465,multilabel_native,fedot,19,0.6604957495441273,307.51534553999954
41465,multilabel_native,fedot,20,0.6977436059391987,296.99669128700043
41468,multilabel_native,autogluon,1,0.4058666888984176,139.0622125509999
41468,multilabel_native,autogluon,2,0.3952334650169566,134.8019157480012
41468,multilabel_native,autogluon,3,0.36364234962663733,127.65222485899903
41468,multilabel_native,autogluon,4,0.3834010280405203,114.19908627599943
41468,multilabel_native,autogluon,5,0.35723719503030676,131.92108829000063
41468,multilabel_native,autogluon,6,0.3667487017053762,123.15855280200049
41468,multilabel_native,autogluon,7,0.3701363457566538,126.9545170399997
41468,multilabel_native,autogluon,8,0.3984886563882605,128.717504971999
41468,multilabel_native,autogluon,9,0.3650952874240468,115.73247091300072
41468,multilabel_native,autogluon,10,0.39461593507263165,126.4886753360006
41468,multilabel_native,autogluon,11,0.4206794251232667,122.59350960700249
41468,multilabel_native,autogluon,12,0.4025802495199435,124.84047339699828
41468,multilabel_native,autogluon,13,0.35592692350528726,132.53169684599925
41468,multilabel_native,autogluon,14,0.38280988373143765,124.55538567299664
41468,multilabel_native,autogluon,15,0.36484547065434597,130.1804552249996
41468,multilabel_native,autogluon,16,0.3615876845077098,122.03593654100041
41468,multilabel_native,autogluon,17,0.39068699607094803,123.85016778700083
41468,multilabel_native,autogluon,18,0.3671412616530428,124.18657101099961
41468,multilabel_native,autogluon,19,0.3966443257371813,136.32287942299808
41468,multilabel_native,autogluon,20,0.4080754814684136,120.88650880400019
41468,multilabel_native,autokeras,1,0.6389562284936283,129.0961147400085
41468,multilabel_native,autokeras,2,0.5076978945673098,119.76811111508869
41468,multilabel_native,autokeras,3,0.6087415840178918,115.665864872979
41468,multilabel_native,autokeras,4,0.566744915914473,126.9250633190386
41468,multilabel_native,autokeras,5,0.5588392424415881,118.79116030107252
41468,multilabel_native,autokeras,6,0.6001921736676294,130.5535548350308
41468,multilabel_native,autokeras,7,0.5259899058822699,113.57521654805169
41468,multilabel_native,autokeras,8,0.5824765747190878,128.29294953600038
41468,multilabel_native,autokeras,9,0.5915862762517304,182.12139598000795
41468,multilabel_native,autokeras,10,0.5402532354788419,188.51591289089993
41468,multilabel_native,autokeras,11,0.5897281080139444,108.09328332298901
41468,multilabel_native,autokeras,12,0.5987248310779789,203.32144103804603
41468,multilabel_native,autokeras,13,0.530501500884457,128.38796270091552
41468,multilabel_native,autokeras,14,0.5854848941760462,120.09751402190886
41468,multilabel_native,autokeras,15,0.5168636703637154,156.90309920196887
41468,multilabel_native,autokeras,16,0.6034367387493905,198.5689247539267
41468,multilabel_native,autokeras,17,0.5399957450999613,113.99567463598214
41468,multilabel_native,autokeras,18,0.49781461152260525,195.18567635607906
41468,multilabel_native,autokeras,19,0.5754845493186493,116.17754770698957
41468,multilabel_native,autokeras,20,0.5886335372490907,113.67179168795701
41468,multilabel_native,autosklearn,1,0.6326092558358223,302.41549998905975
41468,multilabel_native,autosklearn,2,0.5886468451246881,297.12247438100167
41468,multilabel_native,autosklearn,3,0.6472599860853985,302.1954334389884
41468,multilabel_native,autosklearn,4,0.6015697752650616,301.0848355080234
41468,multilabel_native,autosklearn,5,0.6224553063308991,299.5002163850004
41468,multilabel_native,autosklearn,6,0.6243896881542421,301.96176063700113
41468,multilabel_native,autosklearn,7,0.6380138201637598,304.7949889510637
41468,multilabel_native,autosklearn,8,0.6374565909922106,299.6875386389438
41468,multilabel_native,autosklearn,9,0.6383258970094239,301.70142775203567
41468,multilabel_native,autosklearn,10,0.6250931815407966,301.8066889590118
41468,multilabel_native,autosklearn,11,0.6135725282877788,303.8742086569546
41468,multilabel_native,autosklearn,12,0.5754080345516311,300.392066875007
41468,multilabel_native,autosklearn,13,0.6198968346217982,302.34512690408155
41468,multilabel_native,autosklearn,14,0.6485528367389403,304.16315601498354
41468,multilabel_native,autosklearn,15,0.6210439203550677,301.9082044749521
